Elemental Paths
Verifying all levels across 20 seeds...

  Seed  0: [OK] 4/4 levels cleared
  Seed  1: [OK] 4/4 levels cleared
  Seed  2: [OK] 4/4 levels cleared
  Seed  3: [OK] 4/4 levels cleared
  Seed  4: [OK] 4/4 levels cleared
  Seed  5: [OK] 4/4 levels cleared
  Seed  6: [OK] 4/4 levels cleared
  Seed  7: [OK] 4/4 levels cleared
  Seed  8: [OK] 4/4 levels cleared
  Seed  9: [OK] 4/4 levels cleared
  Seed 10: [OK] 4/4 levels cleared
  Seed 11: [OK] 4/4 levels cleared
  Seed 12: [OK] 4/4 levels cleared
  Seed 13: [OK] 4/4 levels cleared
  Seed 14: [OK] 4/4 levels cleared
  Seed 15: [OK] 4/4 levels cleared
  Seed 16: [OK] 4/4 levels cleared
  Seed 17: [OK] 4/4 levels cleared
  Seed 18: [OK] 4/4 levels cleared
  Seed 19: [OK] 4/4 levels cleared

All seeds solvable!
