id,result_file,paper_title,authors,original_year,replication_year,journal,doi,domain,original_effect_size,original_sample_size,replication_effect_size,replication_sample_size,replication_variance,outcome,risk_of_bias_score,full_citation_apa7
1,result_001.md,Ego depletion: Is the active self a limited resource?,"Baumeister, Bratslavsky, Muraven, & Tice",1998,2016,JPSP,10.1037/0022-3514.74.5.1252,Self-regulation,0.62,67,0.04,2141,0.001869532710280374,failed_replication,3,"Baumeister, Bratslavsky, Muraven, & Tice (1998). Ego depletion: Is the active self a limited resource?. *JPSP*. https://doi.org/10.1037/0022-3514.74.5.1252"
2,result_002.md,Power posing: Brief nonverbal displays affect neuroendocrine levels and risk tolerance,"Carney, Cuddy, & Yap",2010,2015,Psychological Science,10.1177/0956797610383437,Embodiment,0.65,42,0.02,200,0.020001,failed_replication,5,"Carney, Cuddy, & Yap (2010). Power posing: Brief nonverbal displays affect neuroendocrine levels and risk tolerance. *Psychological Science*. https://doi.org/10.1177/0956797610383437"
3,result_003.md,Social priming: Elderly stereotypes and walking speed,"Bargh, Chen, & Burrows",1996,2015,JPSP,10.1037/0022-3514.71.2.230,Social priming,0.45,30,0.06,120,0.033348333333333334,failed_replication,2,"Bargh, Chen, & Burrows (1996). Social priming: Elderly stereotypes and walking speed. *JPSP*. https://doi.org/10.1037/0022-3514.71.2.230"
4,result_004.md,Facial feedback hypothesis: Pen-in-mouth and cartoon ratings,"Strack, Martin, & Stepper",1988,2016,JPSP,10.1037/0022-3514.54.5.768,Embodiment,0.82,92,0.03,1894,0.002112170010559662,failed_replication,4,"Strack, Martin, & Stepper (1988). Facial feedback hypothesis: Pen-in-mouth and cartoon ratings. *JPSP*. https://doi.org/10.1037/0022-3514.54.5.768"
5,result_005.md,Money priming: Reminders of money and self-sufficient behavior,"Vohs, Mead, & Goode",2006,2017,Science,10.1126/science.1132491,Social priming,0.8,52,0.01,4286,0.0009332827811479235,failed_replication,5,"Vohs, Mead, & Goode (2006). Money priming: Reminders of money and self-sufficient behavior. *Science*. https://doi.org/10.1126/science.1132491"
6,result_006.md,Hungry judges: Judicial decisions and meal breaks,"Danziger, Levav, & Avnaim-Pesso",2011,2016,PNAS,10.1073/pnas.1018033108,Decision-making,1.96,1112,0.1,1112,0.0036016187050359715,failed_replication,3,"Danziger, Levav, & Avnaim-Pesso (2011). Hungry judges: Judicial decisions and meal breaks. *PNAS*. https://doi.org/10.1073/pnas.1018033108"
7,result_007.md,Implementation intentions reduce procrastination,Gollwitzer & Sheeran,2006,2018,Advances in Exp. Soc. Psych.,10.1016/S0065-2601(06)38002-1,Self-regulation,0.65,8461,0.61,1500,0.0027907,successful_replication,1,Gollwitzer & Sheeran (2006). Implementation intentions reduce procrastination. *Advances in Exp. Soc. Psych.*. https://doi.org/10.1016/S0065-2601(06)38002-1
8,result_008.md,Stereotype threat in women's math performance,"Spencer, Steele, & Quinn",1999,2018,JESP,10.1006/jesp.1998.1373,Stereotype threat,0.47,56,0.2,590,0.006813559322033898,failed_replication,3,"Spencer, Steele, & Quinn (1999). Stereotype threat in women's math performance. *JESP*. https://doi.org/10.1006/jesp.1998.1373"
9,result_009.md,Anchoring effect in numerical judgments,Tversky & Kahneman,1974,2015,Science,10.1126/science.185.4157.1124,Decision-making,0.65,252,0.55,1873,0.002217548076923077,successful_replication,1,Tversky & Kahneman (1974). Anchoring effect in numerical judgments. *Science*. https://doi.org/10.1126/science.185.4157.1124
10,result_010.md,Marshmallow test: Delay of gratification and later outcomes,"Mischel, Shoda, & Rodriguez",1989,2018,Science,10.1126/science.2658056,Self-regulation,0.42,185,0.18,918,0.0043749455337690635,failed_replication,2,"Mischel, Shoda, & Rodriguez (1989). Marshmallow test: Delay of gratification and later outcomes. *Science*. https://doi.org/10.1126/science.2658056"
